Position,Location,Gender,Education,Experience (Years),Salary,Salary_in_LPA,Combined_Tokens
Integration Engineer,New Delhi,Female,B.Tech/B.E.,8,2300000,23LPA,"['integration', 'engineer', 'new', 'delhi', '2300000 salary', '8 experience (years)']"
Salesforce Developer,Kolkata,Male,BCA,17,2000000,20LPA,"['salesforce', 'developer', 'bca', 'kolkata', '2000000 salary', '17 experience (years)']"
Golang Developer,New Delhi,Male,,9,1600000,16LPA,"['golang', 'developer', 'new', 'delhi', '1600000 salary', '9 experience (years)']"
C and Linux,Pune,Male,B.A,13,1900000,19LPA,"['c', 'and', 'linux', 'pune', '1900000 salary', '13 experience (years)']"
Salesforce,Noida,Male,B.Com,9,1700000,17LPA,"['salesforce', 'noida', '1700000 salary', '9 experience (years)']"
Catia BIW,New Delhi,Male,B.Tech/B.E.,27,2100000,21LPA,"['catia', 'biw', 'new', 'delhi', '2100000 salary', '27 experience (years)']"
Catia BIW,Bhubaneswar,Female,BCA,23,800000,8LPA,"['catia', 'biw', 'bca', 'bhubaneswar', '800000 salary', '23 experience (years)']"
Catia BIW,New Delhi,Female,BCA,17,2200000,22LPA,"['catia', 'biw', 'bca', 'new', 'delhi', '2200000 salary', '17 experience (years)']"
IOS Developer,New Delhi,Male,B.Tech/B.E.,14,500000,5LPA,"['ios', 'developer', 'new', 'delhi', '500000 salary', '14 experience (years)']"
Mainframe Nasco,New Delhi,Female,Diploma,14,2400000,24LPA,"['mainframe', 'nasco', 'diploma', 'new', 'delhi', '2400000 salary', '14 experience (years)']"
IISC,Noida,Female,B.Com,18,1600000,16LPA,"['iisc', 'noida', '1600000 salary', '18 experience (years)']"
"HR Data BA, data Modelling",Hyderabad,Female,Diploma,21,2000000,20LPA,"['hr', 'data', 'ba', 'data', 'modelling', 'diploma', 'hyderabad', '2000000 salary', '21 experience (years)']"
Basic Math,Chennai,Male,BCA,7,600000,6LPA,"['basic', 'math', 'bca', 'chennai', '600000 salary', '7 experience (years)']"
salesforce,Rudrpur - Uttarakhand,Male,B.Tech/B.E.,19,500000,5LPA,"['salesforce', 'rudrpur', 'uttarakhand', '500000 salary', '19 experience (years)']"
UI Angular,Kolkata,Male,BCA,27,1300000,13LPA,"['ui', 'angular', 'bca', 'kolkata', '1300000 salary', '27 experience (years)']"
Data Engineer,Hyderabad,Male,B.Sc,20,1300000,13LPA,"['data', 'engineer', 'hyderabad', '1300000 salary', '20 experience (years)']"
Golang Developer,Bengaluru,Male,B.Tech/B.E.,15,2200000,22LPA,"['golang', 'developer', 'bengaluru', '2200000 salary', '15 experience (years)']"
SAS,Bengaluru,Female,B.Sc,8,1100000,11LPA,"['sas', 'bengaluru', '1100000 salary', '8 experience (years)']"
Golang Developer,Hyderabad,Female,B.Com,17,2100000,21LPA,"['golang', 'developer', 'hyderabad', '2100000 salary', '17 experience (years)']"
Maths Teacher,Bengaluru,Female,B.Tech/B.E.,19,1800000,18LPA,"['maths', 'teacher', 'bengaluru', '1800000 salary', '19 experience (years)']"
IOS,Noida,Female,B.Tech/B.E.,25,2200000,22LPA,"['ios', 'noida', '2200000 salary', '25 experience (years)']"
Salesforce Developer,Noida,Male,B.A,13,2500000,25LPA,"['salesforce', 'developer', 'noida', '2500000 salary', '13 experience (years)']"
Data Engineer GCP,Hyderabad,Female,B.Sc,13,1000000,10LPA,"['data', 'engineer', 'gcp', 'hyderabad', '1000000 salary', '13 experience (years)']"
Data Engineer GCP,Mumbai,Female,BCA,8,2500000,25LPA,"['data', 'engineer', 'gcp', 'bca', 'mumbai', '2500000 salary', '8 experience (years)']"
Ab Initio Developer,New Delhi,Female,B.Com,27,2300000,23LPA,"['ab', 'initio', 'developer', 'new', 'delhi', '2300000 salary', '27 experience (years)']"
Maths Teacher,Mumbai,Male,B.Tech/B.E.,28,1600000,16LPA,"['maths', 'teacher', 'mumbai', '1600000 salary', '28 experience (years)']"
Verilog,Gurugram,Female,B.Com,23,900000,9LPA,"['verilog', 'gurugram', '900000 salary', '23 experience (years)']"
,Pune,Male,Diploma,23,2400000,24LPA,"['diploma', 'pune', '2400000 salary', '23 experience (years)']"
"Distributed sup eng, Infrastructure Lead",Mumbai,Male,BCA,27,900000,9LPA,"['distributed', 'sup', 'eng', 'infrastructure', 'lead', 'bca', 'mumbai', '900000 salary', '27 experience (years)']"
Data Engineer,New Delhi,Female,B.Tech/B.E.,10,600000,6LPA,"['data', 'engineer', 'new', 'delhi', '600000 salary', '10 experience (years)']"
C++,Hyderabad,Male,B.A,10,1000000,10LPA,"['hyderabad', '1000000 salary', '10 experience (years)']"
Mainframe Support,New Delhi,Female,B.A,15,800000,8LPA,"['mainframe', 'support', 'new', 'delhi', '800000 salary', '15 experience (years)']"
Oracle PLSQL,Gurugram,Male,B.A,24,1000000,10LPA,"['oracle', 'plsql', 'gurugram', '1000000 salary', '24 experience (years)']"
"Distributed sup eng, Infrastructure Lead",Kanpur,Male,B.Tech/B.E.,26,2000000,20LPA,"['distributed', 'sup', 'eng', 'infrastructure', 'lead', 'kanpur', '2000000 salary', '26 experience (years)']"
Maths Teacher,Noida,Male,BCA,7,1200000,12LPA,"['maths', 'teacher', 'bca', 'noida', '1200000 salary', '7 experience (years)']"
Salesfoce Developer,New Delhi,Male,B.Sc,5,2000000,20LPA,"['salesfoce', 'developer', 'new', 'delhi', '2000000 salary', '5 experience (years)']"
Salesforce Developer,Dehradun,Male,B.Tech/B.E.,6,600000,6LPA,"['salesforce', 'developer', 'dehradun', '600000 salary', '6 experience (years)']"
Big Query,New Delhi,Female,BCA,7,500000,5LPA,"['big', 'query', 'bca', 'new', 'delhi', '500000 salary', '7 experience (years)']"
Data Engineer GCP,New Delhi,Male,B.Com,23,1500000,15LPA,"['data', 'engineer', 'gcp', 'new', 'delhi', '1500000 salary', '23 experience (years)']"
C++,Pune,Female,B.Com,22,1000000,10LPA,"['pune', '1000000 salary', '22 experience (years)']"
Ab Initio Developer,Noida,Female,B.Tech/B.E.,22,1200000,12LPA,"['ab', 'initio', 'developer', 'noida', '1200000 salary', '22 experience (years)']"
Python fullstack,Bengaluru,Male,B.Tech/B.E.,20,600000,6LPA,"['python', 'fullstack', 'bengaluru', '600000 salary', '20 experience (years)']"
AWS,New Delhi,Male,B.Com,13,1500000,15LPA,"['aws', 'new', 'delhi', '1500000 salary', '13 experience (years)']"
Ab Initio Developer,Pune,Female,B.B.A/ B.M.S,9,700000,7LPA,"['ab', 'initio', 'developer', 'pune', '700000 salary', '9 experience (years)']"
Senior Identity Engineer,Hyderabad,Male,BCA,16,800000,8LPA,"['senior', 'identity', 'engineer', 'bca', 'hyderabad', '800000 salary', '16 experience (years)']"
Maths Teacher,Pune,Male,B.Tech/B.E.,6,1100000,11LPA,"['maths', 'teacher', 'pune', '1100000 salary', '6 experience (years)']"
C++,New Delhi,Female,BCA,8,2100000,21LPA,"['bca', 'new', 'delhi', '2100000 salary', '8 experience (years)']"
"Distributed sup eng, Infrastructure Lead",New Delhi,Female,B.B.A/ B.M.S,13,2300000,23LPA,"['distributed', 'sup', 'eng', 'infrastructure', 'lead', 'new', 'delhi', '2300000 salary', '13 experience (years)']"
Cisco Networking,Kolkata,Female,B.Tech/B.E.,9,1700000,17LPA,"['cisco', 'networking', 'kolkata', '1700000 salary', '9 experience (years)']"
Cyber Security,Pune,Female,B.Tech/B.E.,14,1100000,11LPA,"['cyber', 'security', 'pune', '1100000 salary', '14 experience (years)']"
Mainframe Support,Nagpur,Male,B.Com,6,900000,9LPA,"['mainframe', 'support', 'nagpur', '900000 salary', '6 experience (years)']"
Cloud Security,Bengaluru,Male,B.Sc,13,2300000,23LPA,"['cloud', 'security', 'bengaluru', '2300000 salary', '13 experience (years)']"
"Distributed sup eng, Infrastructure Lead",Lucknow,Male,B.Com,16,1100000,11LPA,"['distributed', 'sup', 'eng', 'infrastructure', 'lead', 'lucknow', '1100000 salary', '16 experience (years)']"
C++,Pune,Female,B.Com,18,1200000,12LPA,"['pune', '1200000 salary', '18 experience (years)']"
Big Data with GCP,Faridabad,Male,B.Tech/B.E.,17,1600000,16LPA,"['big', 'data', 'with', 'gcp', 'faridabad', '1600000 salary', '17 experience (years)']"
Ab initio,New Delhi,Female,BCA,27,1300000,13LPA,"['ab', 'initio', 'bca', 'new', 'delhi', '1300000 salary', '27 experience (years)']"
Salesfoce Developer,Pune,Male,B.Tech/B.E.,5,500000,5LPA,"['salesfoce', 'developer', 'pune', '500000 salary', '5 experience (years)']"
Database Administrator,New Delhi,Male,B.Tech/B.E.,12,1100000,11LPA,"['database', 'administrator', 'new', 'delhi', '1100000 salary', '12 experience (years)']"
Mainframe Support,Bengaluru,Male,B.Tech/B.E.,17,2200000,22LPA,"['mainframe', 'support', 'bengaluru', '2200000 salary', '17 experience (years)']"
SAP ATTP,Dehradun,Male,B.Com,10,1000000,10LPA,"['sap', 'attp', 'dehradun', '1000000 salary', '10 experience (years)']"
Cyber Security,New Delhi,Male,B.Tech/B.E.,11,900000,9LPA,"['cyber', 'security', 'new', 'delhi', '900000 salary', '11 experience (years)']"
IOS Developer,New Delhi,Male,B.Tech/B.E.,25,1300000,13LPA,"['ios', 'developer', 'new', 'delhi', '1300000 salary', '25 experience (years)']"
Mainframe Nasco,Chennai,Female,B.Com,16,2400000,24LPA,"['mainframe', 'nasco', 'chennai', '2400000 salary', '16 experience (years)']"
Ab intio,New Delhi,Female,B.Com,13,1600000,16LPA,"['ab', 'intio', 'new', 'delhi', '1600000 salary', '13 experience (years)']"
Mainframe Support,Bengaluru,Female,B.Tech/B.E.,21,800000,8LPA,"['mainframe', 'support', 'bengaluru', '800000 salary', '21 experience (years)']"
Mainframe Nasco,Jalgaon,Female,BCA,28,1800000,18LPA,"['mainframe', 'nasco', 'bca', 'jalgaon', '1800000 salary', '28 experience (years)']"
Product Operations L2- SAAS,Bengaluru,Male,B.Tech/B.E.,10,2500000,25LPA,"['product', 'operations', 'saas', 'bengaluru', '2500000 salary', '10 experience (years)']"
BMC Control,Pune,Female,B.B.A/ B.M.S,16,800000,8LPA,"['bmc', 'control', 'pune', '800000 salary', '16 experience (years)']"
Cyber Security,Pune,Male,B.Com,25,1500000,15LPA,"['cyber', 'security', 'pune', '1500000 salary', '25 experience (years)']"
Ab intio,Mumbai,Female,B.Sc,16,1600000,16LPA,"['ab', 'intio', 'mumbai', '1600000 salary', '16 experience (years)']"
AML Triage Analyst,Ghaziabad,Male,B.Tech/B.E.,12,2000000,20LPA,"['aml', 'triage', 'analyst', 'ghaziabad', '2000000 salary', '12 experience (years)']"
Salesfoce Developer,New Delhi,Male,BCA,9,1900000,19LPA,"['salesfoce', 'developer', 'bca', 'new', 'delhi', '1900000 salary', '9 experience (years)']"
Mainframe Support,Bengaluru,Male,,7,600000,6LPA,"['mainframe', 'support', 'bengaluru', '600000 salary', '7 experience (years)']"
Database Administrator,Pune,Female,B.Tech/B.E.,17,700000,7LPA,"['database', 'administrator', 'pune', '700000 salary', '17 experience (years)']"
Liferay,Chennai,Male,B.B.A/ B.M.S,27,1100000,11LPA,"['liferay', 'chennai', '1100000 salary', '27 experience (years)']"
Liferay,Gurugram,Male,B.Tech/B.E.,6,1200000,12LPA,"['liferay', 'gurugram', '1200000 salary', '6 experience (years)']"
API Connect,Hyderabad,Female,B.Tech/B.E.,24,900000,9LPA,"['api', 'connect', 'hyderabad', '900000 salary', '24 experience (years)']"
IBM API,Pune,Male,B.Sc,7,800000,8LPA,"['ibm', 'api', 'pune', '800000 salary', '7 experience (years)']"
Data Engineer GCP,Pune,Male,BCA,22,2200000,22LPA,"['data', 'engineer', 'gcp', 'bca', 'pune', '2200000 salary', '22 experience (years)']"
,vishakapatnam - Andhra Pradesh,Male,B.A,12,500000,5LPA,"['vishakapatnam', 'andhra', 'pradesh', '500000 salary', '12 experience (years)']"
Liferay,Chennai,Male,B.Tech/B.E.,14,900000,9LPA,"['liferay', 'chennai', '900000 salary', '14 experience (years)']"
Salesforce architect,Chennai,Female,B.Sc,7,1100000,11LPA,"['salesforce', 'architect', 'chennai', '1100000 salary', '7 experience (years)']"
Salesfoce Developer,Chennai,Male,B.Tech/B.E.,27,1300000,13LPA,"['salesfoce', 'developer', 'chennai', '1300000 salary', '27 experience (years)']"
Salesfoce Developer,Bengaluru,Male,B.Tech/B.E.,24,2400000,24LPA,"['salesfoce', 'developer', 'bengaluru', '2400000 salary', '24 experience (years)']"
Salesfoce Developer,Pune,Male,BCA,14,1300000,13LPA,"['salesfoce', 'developer', 'bca', 'pune', '1300000 salary', '14 experience (years)']"
Salesfoce Developer,Pune,Male,B.Sc,7,800000,8LPA,"['salesfoce', 'developer', 'pune', '800000 salary', '7 experience (years)']"
Salesfoce Developer,Mumbai,Male,B.Tech/B.E.,22,1600000,16LPA,"['salesfoce', 'developer', 'mumbai', '1600000 salary', '22 experience (years)']"
Salesfoce Developer,Pune,Female,BCA,12,1400000,14LPA,"['salesfoce', 'developer', 'bca', 'pune', '1400000 salary', '12 experience (years)']"
Salesfoce Developer,Mumbai,Male,,9,1800000,18LPA,"['salesfoce', 'developer', 'mumbai', '1800000 salary', '9 experience (years)']"
Liferay,New Delhi,Male,B.Tech/B.E.,19,800000,8LPA,"['liferay', 'new', 'delhi', '800000 salary', '19 experience (years)']"
IBM API Connect,Noida,Female,B.Com,28,1300000,13LPA,"['ibm', 'api', 'connect', 'noida', '1300000 salary', '28 experience (years)']"
Salesfoce Developer,Ahemdabad - Gujarat,Male,B.Tech/B.E.,6,2200000,22LPA,"['salesfoce', 'developer', 'ahemdabad', 'gujarat', '2200000 salary', '6 experience (years)']"
Salesforce architect,Noida,Female,B.Tech/B.E.,13,1500000,15LPA,"['salesforce', 'architect', 'noida', '1500000 salary', '13 experience (years)']"
IBM API Connect,Noida,Male,B.Com,25,1700000,17LPA,"['ibm', 'api', 'connect', 'noida', '1700000 salary', '25 experience (years)']"
Liferay,Patna,Male,B.Sc,18,800000,8LPA,"['liferay', 'patna', '800000 salary', '18 experience (years)']"
Mainframe Support,Bengaluru,Male,B.Sc,22,2300000,23LPA,"['mainframe', 'support', 'bengaluru', '2300000 salary', '22 experience (years)']"
Liferay,Lucknow,Female,B.Tech/B.E.,28,1800000,18LPA,"['liferay', 'lucknow', '1800000 salary', '28 experience (years)']"
Salesforce Consultant,Mumbai,Male,Diploma,13,2200000,22LPA,"['salesforce', 'consultant', 'diploma', 'mumbai', '2200000 salary', '13 experience (years)']"
Cyber Security,Noida,Female,BCA,21,800000,8LPA,"['cyber', 'security', 'bca', 'noida', '800000 salary', '21 experience (years)']"
AML Triage Analyst,Ghaziabad,Female,B.Tech/B.E.,8,1500000,15LPA,"['aml', 'triage', 'analyst', 'ghaziabad', '1500000 salary', '8 experience (years)']"
AWS Cloud Engineer,Pune,Female,BCA,15,2200000,22LPA,"['aws', 'cloud', 'engineer', 'bca', 'pune', '2200000 salary', '15 experience (years)']"
Nomad Developer,Navi Mumbai,Male,BCA,25,1700000,17LPA,"['nomad', 'developer', 'bca', 'navi', 'mumbai', '1700000 salary', '25 experience (years)']"
DI Eclipse Architect,Noida,Female,B.Tech/B.E.,7,900000,9LPA,"['di', 'eclipse', 'architect', 'noida', '900000 salary', '7 experience (years)']"
Production Support,Pune,Male,B.Sc,28,500000,5LPA,"['production', 'support', 'pune', '500000 salary', '28 experience (years)']"
Nomad Developer,Nagpur,Male,B.Sc,14,2400000,24LPA,"['nomad', 'developer', 'nagpur', '2400000 salary', '14 experience (years)']"
Salesforce architect,Hyderabad,Female,Diploma,17,2000000,20LPA,"['salesforce', 'architect', 'diploma', 'hyderabad', '2000000 salary', '17 experience (years)']"
Computer Vision,Noida,Male,B.Tech/B.E.,21,2200000,22LPA,"['computer', 'vision', 'noida', '2200000 salary', '21 experience (years)']"
C++,Chennai,Male,B.B.A/ B.M.S,25,1700000,17LPA,"['chennai', '1700000 salary', '25 experience (years)']"
IBM API Connect,New Delhi,Male,B.Sc,8,600000,6LPA,"['ibm', 'api', 'connect', 'new', 'delhi', '600000 salary', '8 experience (years)']"
Senior WordPress Expert and Full Stack Developer,Visakhapatnam,Male,B.Tech/B.E.,22,1900000,19LPA,"['senior', 'wordpress', 'expert', 'and', 'full', 'stack', 'developer', 'visakhapatnam', '1900000 salary', '22 experience (years)']"
Nomad Developer,Bengaluru,Male,B.A,7,1400000,14LPA,"['nomad', 'developer', 'bengaluru', '1400000 salary', '7 experience (years)']"
Salesforce architect,Bengaluru,Male,B.Com,27,900000,9LPA,"['salesforce', 'architect', 'bengaluru', '900000 salary', '27 experience (years)']"
UI/UX Designer+Figma,Hyderabad,Female,B.Tech/B.E.,15,2400000,24LPA,"['ui', 'ux', 'hyderabad', '2400000 salary', '15 experience (years)']"
Scrum master,Noida,Female,B.Tech/B.E.,19,2000000,20LPA,"['scrum', 'master', 'noida', '2000000 salary', '19 experience (years)']"
Cyber Security,Gurugram,Female,B.Sc,6,700000,7LPA,"['cyber', 'security', 'gurugram', '700000 salary', '6 experience (years)']"
Salesforce architect,"Fazilka , Punjab - Punjab",Male,B.A,28,1600000,16LPA,"['salesforce', 'architect', 'fazilka', 'punjab', 'punjab', '1600000 salary', '28 experience (years)']"
Salesforce,Coimbatore,Male,B.Sc,7,1300000,13LPA,"['salesforce', 'coimbatore', '1300000 salary', '7 experience (years)']"
Salesforce,Indore,Female,BCA,25,1100000,11LPA,"['salesforce', 'bca', 'indore', '1100000 salary', '25 experience (years)']"
"DI Eclipse Architect, Senior Product Architect",Hyderabad,Male,B.Tech/B.E.,16,1700000,17LPA,"['di', 'eclipse', 'architect', 'senior', 'product', 'architect', 'hyderabad', '1700000 salary', '16 experience (years)']"
Cyber Security,Noida,Female,B.Tech/B.E.,5,1400000,14LPA,"['cyber', 'security', 'noida', '1400000 salary', '5 experience (years)']"
Nomad Developer,"Cuttack, Odisha - Odisha",Female,B.Tech/B.E.,24,800000,8LPA,"['nomad', 'developer', 'cuttack', 'odisha', 'odisha', '800000 salary', '24 experience (years)']"
"Security Engineer-ISAM, Senior Technical Lead",New Delhi,Female,B.Sc,9,1200000,12LPA,"['security', 'engineer', 'isam', 'senior', 'technical', 'lead', 'new', 'delhi', '1200000 salary', '9 experience (years)']"
UI/UX Designer+Figma,Hyderabad,Male,B.Tech/B.E.,28,2000000,20LPA,"['ui', 'ux', 'hyderabad', '2000000 salary', '28 experience (years)']"
Workday Techno Functional,Kanpur,Female,B.Com,6,1100000,11LPA,"['workday', 'techno', 'functional', 'kanpur', '1100000 salary', '6 experience (years)']"
Cyber Security,Navi Mumbai,Male,BCA,27,900000,9LPA,"['cyber', 'security', 'bca', 'navi', 'mumbai', '900000 salary', '27 experience (years)']"
Sr. Technical Lead ÃÂ Azure Cloud & DevOps,Bhubaneswar,Male,B.Sc,16,1400000,14LPA,"['sr', 'technical', 'lead', 'azure', 'cloud', 'devops', 'bhubaneswar', '1400000 salary', '16 experience (years)']"
Legal Operations,New Delhi,Male,B.Sc,21,2200000,22LPA,"['legal', 'operations', 'new', 'delhi', '2200000 salary', '21 experience (years)']"
"Principal Software Engineer, BNY Mellon London",Pune,Male,B.Tech/B.E.,22,1700000,17LPA,"['principal', 'software', 'engineer', 'bny', 'mellon', 'london', 'pune', '1700000 salary', '22 experience (years)']"
Database Administrator,Chennai,Male,B.Tech/B.E.,23,2100000,21LPA,"['database', 'administrator', 'chennai', '2100000 salary', '23 experience (years)']"
Mainframe,Ayodhya - Uttar Pradesh,Female,B.Com,18,1800000,18LPA,"['mainframe', 'ayodhya', 'uttar', 'pradesh', '1800000 salary', '18 experience (years)']"
"Application Support- Oracle,SQL",Hyderabad,Male,B.Tech/B.E.,7,2200000,22LPA,"['application', 'oracle', 'sql', 'hyderabad', '2200000 salary', '7 experience (years)']"
Integration Engineer,Hubli,Female,BCA,6,1000000,10LPA,"['integration', 'engineer', 'bca', 'hubli', '1000000 salary', '6 experience (years)']"
Maths Teacher,Gurugram,Male,B.Tech/B.E.,23,1500000,15LPA,"['maths', 'teacher', 'gurugram', '1500000 salary', '23 experience (years)']"
PHP Developer,Mumbai,Male,B.A,23,1900000,19LPA,"['php', 'developer', 'mumbai', '1900000 salary', '23 experience (years)']"
SF NetZero Developer,Bengaluru,Female,,5,1200000,12LPA,"['sf', 'netzero', 'developer', 'bengaluru', '1200000 salary', '5 experience (years)']"
UI/UX Designer+Figma,Patna,Female,Diploma,9,800000,8LPA,"['ui', 'ux', 'diploma', 'patna', '800000 salary', '9 experience (years)']"
Oracle Fusion EBS,Pune,Female,B.Tech/B.E.,11,1800000,18LPA,"['oracle', 'fusion', 'ebs', 'pune', '1800000 salary', '11 experience (years)']"
Python Fullstack Engineer,Pune,Male,B.Com,5,1800000,18LPA,"['python', 'fullstack', 'engineer', 'pune', '1800000 salary', '5 experience (years)']"
